2016-09-01T00:00:00Z,"Crying Wolf, Then Confronting Trump",By FRANK BRUNI,Did Democrats exhaust their alarm before they needed it most?
2016-09-01T00:00:00Z,Why This Economy Needs Donald Trump,By DAVID MALPASS,We’re facing dismal growth and an economy that leaves millions of Americans out of work and out of luck. It’s time for a shock to the system.
2016-08-31T03:38:11Z,WHY IT MATTERS: The Role of Government,By THE ASSOCIATED PRESS,"THE ISSUE: It's the Goldilocks conundrum of American politics: Is the federal government too big, too small or just right?"
2016-08-31T00:00:00Z,"Win, Lose, but No Compromise",By THOMAS L. FRIEDMAN,Our politics increasingly resembles the sectarian conflict between Shiites and Sunnis.
2016-08-30T00:00:00Z,Obamacare Marketplaces Are in Trouble. What Can Be Done?,By REED ABELSON and MARGOT SANGER-KATZ,"A look at four major challenges the Affordable Care Act is facing, and some possible solutions."
2016-08-29T14:22:04Z,McConnell: Obamacare 'Crashing;' Next President Must Fix It,By THE ASSOCIATED PRESS,"U.S. Senate Majority Leader Mitch McConnell predicted Monday that the federal health care overhaul championed by President Barack Obama is likely to undergo changes next year, regardless of who wins the White House and which party has the upper hand in Congress."
2016-08-29T03:17:06Z,Clinton Could Face Mounting Problem With Health Overhaul,By THE ASSOCIATED PRESS,"With the hourglass running out for his administration, President Barack Obama's health care law is struggling in many parts of the country. Double-digit premium increases and exits by big-name insurers have caused some to wonder whether ""Obamacare"" will go down as a failed experiment."
2016-08-29T00:00:00Z,States of Cruelty,By PAUL KRUGMAN,Some ugly politics is local.
2016-08-28T21:10:19Z,10 Things to Know for Monday,By THE ASSOCIATED PRESS,"Your daily look at late-breaking news, upcoming events and the stories that will be talked about Monday:"
2016-08-28T07:48:26Z,Can Clinton Save Health Overhaul From Its Mounting Problems?,By THE ASSOCIATED PRESS,"With the hourglass running out for his administration, President Barack Obama's health care law is struggling in many parts of the country. Double-digit premium increases and exits by big-name insurers have caused some to wonder whether ""Obamacare"" will go down as a failed experiment."
2016-08-27T02:39:39Z,WHY IT MATTERS: Issues at Stake in Election,By THE ASSOCIATED PRESS,"A selection of issues at stake in the presidential election and their impact on Americans, in brief:"
2016-08-26T00:00:00Z,"No, Donald Trump, America Isn’t a Hellhole",By PAUL KRUGMAN,The Republican nominee has delusions of a dystopia.
2016-08-26T00:00:00Z,The Growing Pains of Obamacare,By PAUL KRUGMAN,"Two readers are skeptical of efforts to make Obamacare work. “Affordable health care can’t be delivered using a private, for-profit system,” one writes."
2016-08-26T00:00:00Z,How Expanding Medicaid Can Lower Insurance Premiums for All,By MARGOT SANGER-KATZ,A new government study finds that middle-class people paid less for health insurance in states that offered Medicaid to the poor.
2016-08-24T03:20:00Z,Is Obamacare Sustainable?,By MARGOT SANGER-KATZ,
2016-08-23T15:41:24Z,"Texas, Four Other States Sue Over U.S. Transgender Health Policy",By REUTERS,"Texas and four other states sued the Obama administration on Tuesday over extending its healthcare nondiscrimination law to transgender individuals, saying the move ""represents a radical invasion of the federal bureaucracy into a doctor&#8217;s medical judgment."""
2016-08-23T00:00:00Z,Think Your Obamacare Plan Will Be Like Employer Coverage? Think Again,By MARGOT SANGER-KATZ,Market shifts and exits of large insurers are leaving Obamacare customers with no-frills plans that limit their choices of doctors and hospitals.
2016-08-22T00:00:00Z,"Turkey, Rio Olympics, the Tragically Hip: Your Monday Briefing",By SEAN ALFANO,Here’s what you need to know to start your day.
2016-08-20T12:13:02Z,"Tanning Industry Blames 10,000 Salon Closings on 'Obamacare'",By THE ASSOCIATED PRESS,"The tanning salon industry is feeling burned by ""Obamacare."""
2016-08-20T12:07:14Z,Man Who Owes Insurance to 'Obamacare' Still Voting for Trump,By THE ASSOCIATED PRESS,"When Bruce Bradford was fired after nearly two decades as a federal police officer, he lost his income, his health insurance and eventually his wife and apartment as his medical problems mounted. He ended up being thrown a lifeline by the very politicians he can't stand."
2016-08-20T10:37:46Z,Cancer Patient Could Not Get Coverage Before 'Obamacare',By THE ASSOCIATED PRESS,Health care will be on Rebecca Esparza's mind in the voting booth this fall.
2016-08-20T10:19:22Z,Repeal or Retain? Election Opens Final Act for 'Obamacare',By THE ASSOCIATED PRESS,Election Day 2016 will raise the curtain on the final act in the nation's long-running political drama over President Barack Obama's health care overhaul.
2016-08-20T02:46:51Z,WHY IT MATTERS: Issues at Stake in Election,By THE ASSOCIATED PRESS,"A selection of issues at stake in the presidential election and their impact on Americans, in brief:"
2016-08-20T00:00:00Z,U.S. Officials Move to End Duplicate Health Care Coverage,By ROBERT PEAR,The government says tens of thousands of people are enrolled in Medicaid even as they receive federal subsidies under the Affordable Care Act.
2016-08-20T00:00:00Z,"Obamacare Options? In Many Parts of Country, Only One Insurer Will Remain",By REED ABELSON and MARGOT SANGER-KATZ,Plan failures and the recent decision by some of the largest companies to exit markets are leaving large areas of the country with functional monopolies.
2016-08-19T00:00:00Z,Obamacare Hits a Bump,By PAUL KRUGMAN,But it shouldn’t be hard to fix.
2016-08-18T17:37:28Z,U.S. Health Agency Weighs Rules on Outside Payments for Obamacare,By REUTERS,A U.S. government health agency on Thursday said that it was considering new rules to prevent healthcare providers or related groups from steering patients into Obamacare individual insurance plans instead of Medicare or Medicaid in order to receive higher payments for medical services.
2016-08-18T00:00:00Z,"As Insurers Like Aetna Balk, U.S. Makes New Push to Bolster Health Care Act",By ROBERT PEAR and REED ABELSON,An uneasy truce between the government and insurers appears to be fraying as some of the large companies say they are leaving or sharply scaling back.
2016-08-17T10:30:48Z,Aetna Warned It Would Cut Obamacare if Humana Deal Was Blocked,By REUTERS,"Aetna Inc warned in July that it would exit much of the individual Obamacare health insurance market if the government challenged its deal to buy rival Humana Inc, according to a letter it sent to the U.S. Department of Justice."
2016-08-16T05:59:47Z,10 Things to Know for Wednesday,By THE ASSOCIATED PRESS,"Your daily look at late-breaking news, upcoming events and the stories that will be talked about Wednesday:"
